company,ticker_at_time,acquirer,announcement_date,sector,fiscal_year_used,annual_revenue_usd_millions,revenue_growth_yoy_pct,gross_margin_pct,operating_margin_pct,rd_expense_pct_of_revenue,total_debt_usd_millions,cash_and_equivalents_usd_millions,market_cap_at_announcement_usd_millions,deal_value_usd_millions
MyoKardia,MYOK,Bristol-Myers Squibb,2020-10-05,Healthcare,2019,0.0,,,,,0.0,430.0,8180.0,13100
Momenta Pharmaceuticals,MNTA,Johnson & Johnson,2020-08-19,Healthcare,2019,24.0,-68.4,,-1247.7,604.6,,545.0,2000.0,6500
Praxair Inc,PX,Linde AG (Linde plc),2017-06-01,Industrials,FY2016,10534.0,-2.25,44.37,21.25,0.87,9515.0,524.0,35000.0,65000
Monsanto Company,MON,Bayer AG,2016-09-14,Industrials,FY2015 (ended Aug 31 2015),15001.0,-5.38,54.54,23.49,10.53,9044.0,3700.0,45500.0,66000
Rockwell Collins,COL,United Technologies,2017-09-04,Industrials,FY2016 (ended Sep 30 2016),5259.0,0.29,30.75,18.63,,2122.0,,23000.0,30000
Anadarko Petroleum,APC,Occidental Petroleum,2019-05-09,Industrials,FY2018,13382.0,12.38,,19.57,,16417.0,1295.0,38000.0,55000
Chicago Bridge & Iron Company (CB&I),CBI,McDermott International,2017-12-18,Industrials,FY2016,10679.6,-17.4,9.61,-1.36,,2200.0,505.2,2800.0,6000
KLX Inc (Aerospace Solutions Group),KLXI,Boeing,2018-05-01,Industrials,FY2018 ASG segment (ended Jan 31 2018),1400.0,,,,,,,3200.0,4250
Esterline Technologies,ESL,TransDigm Group,2018-10-10,Industrials,FY2017 (ended Sep 29 2017),2000.3,0.39,33.0,9.15,5.49,776.8,307.8,2450.0,4000
Rofin-Sinar Technologies,RSTI,Coherent Inc,2016-03-08,Industrials,FY2015 (ended Sep 30 2015),519.6,-1.98,,,,,,900.0,942
Newfield Exploration,NFX,Encana Corporation,2018-10-31,Industrials,FY2017,1767.0,20.04,,29.15,,2434.0,326.0,5500.0,7700
WGL Holdings,WGL,AltaGas,2017-01-25,Industrials,FY2016 (ended Sep 30 2016),2349.6,-11.67,89.56,12.78,,1444.3,5.6,4550.0,6400
Whole Foods Market,WFM,Amazon,2017-06-16,Consumer/Retail,FY2016 (ended Sep 25 2016),15724.0,2.18,34.41,5.45,,,351.0,,13700
PetSmart Inc,PETM,BC Partners (private equity),2014-12-14,Consumer/Retail,FY2013 (ended Feb 2 2014),6917.0,2.35,30.59,10.02,,,286.0,,8700
Panera Bread Company,PNRA,JAB Holding,2017-04-05,Consumer/Retail,FY2016 (ended Dec 27 2016),2795.0,4.24,20.59,8.58,,411.0,106.0,,7500
Family Dollar Stores,FDO,Dollar Tree,2014-07-28,Consumer/Retail,FY2013 (ended Aug 31 2013),10391.0,11.36,,6.62,,500.0,141.0,,9500
Jimmy Choo plc,CHOO (LSE),Michael Kors Holdings,2017-07-25,Consumer/Retail,FY2016 (ended Dec 31 2016),471.0,10.5,,,,,,,1200
Sonic Corp,SONC,Inspire Brands,2018-09-25,Consumer/Retail,FY2017 (ended Aug 31 2017),477.0,-21.28,,25.84,,628.0,22.0,,2300
Buffalo Wild Wings,BWLD,Arby's/Inspire Brands,2017-11-28,Consumer/Retail,FY2016 (ended Dec 25 2016),1987.0,9.6,29.0,6.88,,,49.0,,2400
Time Warner Cable,TWC,Charter Communications,2015-05-26,Telecom,FY2014 (ended Dec 31 2014),22812.0,3.13,,20.3,,23126.0,707.0,,78700
Level 3 Communications,LVLT,CenturyLink,2016-10-31,Telecom,FY2015 (ended Dec 31 2015),8229.0,21.42,,16.17,,,854.0,,34000
Sprint Corporation,S,T-Mobile US,2018-04-29,Telecom,FY ended Mar 31 2017,33347.0,3.63,,5.29,,40581.0,2870.0,,26000
Smartsheet,SMAR,Blackstone & Vista Equity Partners,2024-09-23,Software,FY2024 (ended Jan 31 2024),958.3,25.0,80.5,-13.0,24.4,0.7,628.8,N/A,8400
